Marca temporal,P1,P2,P3,P4,P5,P6,P7
21/10/2024 9:17:43,0,1,1,0,1,0,0
21/10/2024 9:17:51,0,0,0,0,1,1,1
21/10/2024 9:17:54,0,0,0,1,1,1,1
21/10/2024 9:17:55,0,0,0,1,1,0,1
21/10/2024 9:18:13,1,0,0,1,1,1,1
21/10/2024 9:18:20,1,1,0,0,0,0,1
21/10/2024 9:18:21,1,0,0,1,1,1,1
21/10/2024 9:18:36,0,1,0,1,1,1,1
21/10/2024 9:18:42,0,0,1,1,1,1,0
21/10/2024 9:18:51,0,1,0,0,1,0,0
21/10/2024 9:19:09,1,1,0,0,1,1,1
21/10/2024 9:19:16,0,0,0,0,1,0,1
21/10/2024 9:19:20,1,0,1,0,0,0,1
21/10/2024 9:19:27,1,0,0,1,0,0,1
21/10/2024 9:19:37,1,0,0,0,1,1,1
21/10/2024 9:20:20,1,0,0,0,0,1,1
21/10/2024 9:21:10,0,0,0,0,1,0,1
21/10/2024 9:21:29,1,1,1,0,0,1,1
21/10/2024 9:21:30,0,0,0,0,0,0,1
22/10/2024 9:15:33,0,1,0,0,0,1,1
22/10/2024 9:16:21,1,0,0,0,1,0,0
22/10/2024 9:16:39,0,0,0,0,0,1,1
22/10/2024 9:16:40,0,0,0,0,0,1,1
22/10/2024 9:16:42,0,0,0,0,0,0,1
22/10/2024 9:16:43,1,1,1,0,1,0,1
22/10/2024 9:16:52,1,0,1,0,1,0,1
22/10/2024 9:16:55,1,1,0,0,0,0,1
22/10/2024 9:17:08,1,0,0,0,0,1,1
22/10/2024 9:17:16,0,0,0,0,1,1,1
22/10/2024 9:17:26,1,1,1,0,1,1,1
22/10/2024 9:17:26,1,0,1,0,1,1,0
22/10/2024 9:17:57,1,0,1,0,1,1,0
22/10/2024 9:18:11,1,1,1,0,1,1,1
22/10/2024 9:19:07,0,0,0,0,1,1,1
22/10/2024 9:20:06,0,0,0,0,1,1,1
22/10/2024 9:21:10,1,1,1,1,1,1,1
22/10/2024 9:21:21,0,0,0,0,0,1,1
24/10/2024 12:43:52,0,0,1,0,1,0,0
24/10/2024 12:44:33,1,1,1,0,1,1,1
24/10/2024 12:44:45,0,0,0,1,1,0,1
24/10/2024 12:44:46,1,1,0,0,1,1,0
24/10/2024 12:44:52,1,1,1,1,1,1,0
24/10/2024 12:44:54,0,0,0,0,0,0,0
24/10/2024 12:45:10,1,0,1,0,1,0,0
24/10/2024 12:45:17,0,0,0,0,1,0,0
24/10/2024 12:45:17,0,0,0,0,0,0,0
24/10/2024 12:45:27,0,0,0,0,0,1,1
24/10/2024 12:45:40,1,0,0,0,0,0,0
24/10/2024 12:45:43,0,1,0,0,1,1,0
24/10/2024 12:46:17,0,1,1,0,0,0,1
24/10/2024 12:46:49,0,0,0,1,1,1,0
24/10/2024 12:46:53,1,0,0,0,1,1,1
24/10/2024 12:47:26,0,0,1,0,1,0,0
24/10/2024 12:47:59,0,0,1,0,1,1,1
24/10/2024 12:48:07,1,1,0,1,0,0,0
24/10/2024 12:48:28,1,0,0,0,0,1,1
